	{
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.074510, 0.000000, 0.592157, 0.988235, 0.337255, 0.019608, 0.023529, 0.015686, 0.015686, 0.007843, 0.011765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.007843, 0.003922, 0.000000, 0.000000, 0.000000, 0.003922, 0.545098, 0.988235, 0.737255, 0.003922, 0.023529, 0.007843, 0.019608, 0.027451, 0.007843, 0.015686, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.011765, 0.003922, 0.054902, 0.737255, 1.000000, 0.278431, 0.039216, 0.019608, 0.031373, 0.019608, 0.023529, 0.011765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.149020, 0.945098, 0.901961, 0.639216, 0.435294, 0.015686, 0.011765, 0.011765, 0.011765, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.309804, 0.941176, 0.992157, 1.000000, 0.486275, 0.109804, 0.011765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.160784, 0.725490, 0.992157, 0.996078, 0.588235, 0.117647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.054902, 0.431373, 1.000000, 1.000000, 0.760784, 0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.054902, 1.000000, 1.000000, 0.992157, 0.270588, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.015686, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.160784, 0.470588, 0.772549, 1.000000, 1.000000, 0.827451, 0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.011765, 0.000000, 0.000000, 0.011765, 0.011765, 0.011765, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.141176, 0.564706, 0.866667, 0.984314, 1.000000, 1.000000, 0.996078, 0.713725, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.003922, 0.011765, 0.007843, 0.000000, 0.015686, 0.019608, 0.039216, 0.105882, 0.443137, 0.866667, 0.984314, 0.996078, 0.988235, 0.996078, 0.788235, 0.301961, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.011765, 0.000000, 0.003922, 0.027451, 0.007843, 0.125490, 0.282353, 0.850980, 0.996078, 1.000000, 0.996078, 1.000000, 0.800000, 0.337255, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.019608, 0.000000, 0.027451, 0.019608, 0.078431, 0.674510, 0.894118, 1.000000, 1.000000, 1.000000, 1.000000, 0.792157, 0.341176, 0.082353, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.003922, 0.227451, 0.694118, 0.890196, 1.000000, 1.000000, 1.000000, 1.000000, 0.972549, 0.541176, 0.090196, 0.035294, 0.047059, 0.007843, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.007843, 0.000000, 0.003922, 0.003922, 0.537255, 0.996078, 1.000000, 1.000000, 0.831373, 0.537255, 0.521569, 0.074510, 0.003922, 0.000000, 0.000000, 0.003922, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.015686, 0.000000, 0.007843, 0.007843, 0.019608, 0.015686, 0.011765, 0.007843, 0.003922, 0.011765, 0.000000, 0.003922, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.003922, 0.000000, 0.003922, 0.011765, 0.003922, 0.007843, 0.000000, 0.007843, 0.000000, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
		{0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.027451, 0.000000, 0.023529, 0.000000, 0.003922, 0.007843, 0.000000, 0.007843, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, },
	},

